,PRO,0
0,45.0,41.6325
1,45.0,37.933376
2,80.0,49.720245
3,60.0,61.051212
4,5.0,65.19147
5,65.0,61.714764
6,45.0,46.261627
7,100.0,89.489815
8,60.0,56.448963
9,5.0,21.487444
10,95.0,76.274315
11,95.0,91.82239
12,5.0,54.449944
13,45.0,54.44673
14,5.0,7.907838
15,5.0,59.702682
16,95.0,84.99087
17,75.0,57.973263
18,100.0,83.29964
19,65.0,53.956947
20,5.0,33.333645
21,75.0,55.11198
22,60.0,60.371964
23,85.0,80.924576
24,80.0,74.51988
25,60.0,53.557823
26,65.0,64.23028
27,5.0,42.54794
28,5.0,48.59521
29,100.0,64.090294
30,45.0,59.158955
31,100.0,73.91926
32,5.0,53.507217
33,45.0,58.4723
34,60.0,68.13914
35,5.0,36.99355
36,100.0,87.927376
37,5.0,32.801716
38,60.0,47.160557
39,50.0,40.38713
40,75.0,49.101067
41,100.0,62.549183
42,45.0,52.099613
43,75.0,70.630974
44,75.0,76.94502
45,5.0,33.562206
46,65.0,65.0368
47,60.0,65.04078
48,45.0,48.44002
49,90.0,74.42007
50,50.0,52.32737
51,65.0,64.20513
52,95.0,79.21521
53,100.0,77.055595
54,45.0,56.377144
55,80.0,69.93598
56,65.0,66.06363
57,80.0,45.56404
58,75.0,65.20002
59,5.0,61.415325
60,45.0,32.10359
61,5.0,52.270584
62,45.0,48.20199
63,75.0,57.036835
64,100.0,72.82435
65,100.0,86.57497
66,50.0,40.855125
67,5.0,36.442505
68,50.0,40.543465
69,100.0,72.57784
70,90.0,76.281746
71,65.0,69.94942
72,50.0,51.999863
73,5.0,56.138733
74,5.0,43.71781
75,75.0,70.13135
76,100.0,38.522896
77,90.0,89.97857
78,60.0,64.05873
79,100.0,83.31071
80,100.0,55.923477
81,75.0,75.99491
82,60.0,56.20012
83,60.0,50.23046
84,5.0,30.121996
85,95.0,63.08339
86,75.0,69.559296
87,5.0,3.6591282
88,100.0,79.855415
89,5.0,38.559776
90,60.0,50.829975
91,75.0,66.23605
92,5.0,37.593884
93,60.0,66.042366
94,5.0,39.71218
95,100.0,86.84391
96,95.0,55.472965
97,60.0,72.69576
98,100.0,80.4214
99,80.0,68.945694
100,45.0,57.46493
101,45.0,54.886314
102,50.0,48.50696
103,100.0,50.73521
104,45.0,43.630447
105,65.0,59.703186
106,5.0,38.81053
107,45.0,43.4732
108,100.0,65.91719
109,65.0,65.91327
110,85.0,54.690975
111,85.0,41.790268
112,65.0,54.300865
113,100.0,54.179474
114,5.0,41.549004
115,5.0,12.148733
116,5.0,48.96193
117,85.0,82.44573
118,95.0,65.89637
119,75.0,73.20055
120,45.0,50.680515
121,95.0,54.213764
122,5.0,34.621864
123,5.0,47.021694
124,90.0,84.17833
125,5.0,70.99466
126,45.0,43.614662
127,5.0,40.492367
128,45.0,58.376965
129,75.0,58.684555
130,45.0,58.620987
131,95.0,83.45901
132,5.0,41.46445
133,5.0,48.180874
134,5.0,47.22161
135,5.0,45.317314
136,60.0,63.164906
137,75.0,61.78613
138,95.0,52.63224
139,45.0,48.600185
140,65.0,57.776543
141,90.0,71.42787
142,45.0,68.160194
143,85.0,56.204678
144,50.0,47.093178
145,45.0,47.06784
146,95.0,59.393703
147,60.0,46.54671
148,75.0,67.38809
149,90.0,69.35368
150,5.0,29.49043
151,85.0,48.28503
152,100.0,60.60008
153,90.0,68.11776
154,100.0,65.91621
155,45.0,40.078255
156,95.0,58.921562
157,65.0,56.281456
158,5.0,47.919434
159,50.0,42.68074
160,90.0,62.0013
161,5.0,27.002815
162,95.0,66.346794
163,85.0,59.466774
164,5.0,47.38701
165,100.0,73.74784
166,5.0,42.623665
167,60.0,58.922363
168,5.0,56.46203
169,100.0,89.6565
170,95.0,77.82451
171,100.0,75.70502
172,95.0,47.837505
173,45.0,32.658382
174,75.0,62.331383
175,5.0,38.631905
176,65.0,53.33496
177,95.0,61.65814
178,50.0,55.71638
179,45.0,52.744118
180,5.0,38.684452
181,100.0,67.61282
182,65.0,63.380577
183,75.0,63.008198
184,90.0,61.168365
185,5.0,30.239895
186,5.0,62.701294
187,85.0,74.93946
188,5.0,36.143772
189,85.0,45.973034
190,50.0,60.829266
191,5.0,26.831205
192,100.0,63.065674
193,60.0,65.123886
194,45.0,43.40194
195,60.0,58.99898
196,85.0,80.37663
197,45.0,41.859562
198,85.0,74.62674
199,5.0,28.441526
200,5.0,52.14255
201,80.0,75.84114
202,85.0,75.50213
203,60.0,48.893433
204,75.0,66.4918
205,95.0,76.73436
206,60.0,53.45943
207,100.0,64.19221
208,45.0,52.289776
209,75.0,69.86253
210,45.0,44.630962
211,80.0,65.852165
212,5.0,12.90286
213,75.0,60.91488
214,60.0,58.781685
215,65.0,60.72477
216,85.0,62.780464
217,50.0,36.516834
218,5.0,35.82402
219,5.0,55.144535
220,85.0,75.61945
221,5.0,48.378075
222,95.0,74.481415
223,45.0,48.187164
224,60.0,54.015728
225,75.0,58.111534
226,65.0,62.53142
227,5.0,0.0
228,5.0,34.277496
229,65.0,68.46597
230,60.0,63.160366
231,85.0,85.81679
232,65.0,63.34605
233,5.0,2.1511686
234,100.0,63.5368
235,5.0,59.399616
236,100.0,71.02445
237,85.0,73.15213
238,45.0,60.31164
239,5.0,61.49669
240,85.0,85.35115
241,45.0,49.537506
242,5.0,61.388714
243,45.0,67.514725
244,5.0,44.151615
245,75.0,69.15555
246,75.0,47.561687
247,60.0,63.36211
248,100.0,59.98336
249,75.0,67.7969
250,65.0,48.88415
251,60.0,66.424576
252,60.0,60.885666
253,60.0,57.12193
254,85.0,71.18067
255,65.0,56.747536
256,5.0,30.769012
257,75.0,68.34983
258,5.0,37.88709
259,5.0,28.082806
260,60.0,66.05551
261,90.0,60.832317
262,5.0,42.18777
263,100.0,79.624084
264,45.0,64.531624
265,60.0,56.447617
266,65.0,68.20937
267,100.0,75.01969
268,60.0,47.82008
269,100.0,69.39958
270,45.0,39.51074
271,60.0,54.730774
272,45.0,36.673515
273,5.0,17.937862
274,100.0,93.89996
275,90.0,84.8596
276,80.0,76.336006
277,60.0,59.862713
278,5.0,53.216034
279,60.0,53.306522
280,5.0,51.91754
281,85.0,73.047035
282,90.0,75.91229
283,100.0,59.29544
284,5.0,50.1836
285,60.0,58.291485
286,45.0,42.667824
287,80.0,86.17849
288,85.0,52.95539
289,95.0,66.28651
290,75.0,69.18451
291,65.0,61.942192
292,95.0,88.92521
293,60.0,54.24565
294,50.0,70.09111
295,45.0,44.83117
296,45.0,43.023155
297,75.0,76.92831
298,45.0,47.674488
299,45.0,73.30711
300,100.0,63.06529
301,65.0,61.973732
302,95.0,83.5242
303,5.0,19.95588
304,5.0,48.667747
305,50.0,44.72301
306,100.0,84.36082
307,5.0,42.21555
308,85.0,81.31442
309,95.0,63.45736
310,75.0,53.439686
311,5.0,35.630554
312,5.0,58.257347
313,90.0,60.351807
314,100.0,70.025536
315,95.0,75.53838
316,80.0,35.91836
317,60.0,64.984055
318,45.0,42.51658
319,5.0,61.519226
320,60.0,56.01418
321,60.0,68.79897
322,90.0,72.5894
323,60.0,57.221222
324,65.0,57.547153
325,50.0,63.28277
326,100.0,52.94243
327,65.0,51.10995
328,5.0,59.870865
329,60.0,68.651344
330,45.0,52.210518
331,60.0,62.741016
332,85.0,71.09594
333,80.0,75.70404
334,5.0,60.052006
335,100.0,75.5064
336,5.0,44.876274
337,75.0,72.23392
338,60.0,53.58773
339,75.0,68.87622
340,60.0,68.6371
341,50.0,43.02053
342,75.0,70.85779
343,80.0,72.89525
344,90.0,89.3837
345,75.0,74.19818
346,65.0,55.7452
347,45.0,39.586075
348,75.0,70.376305
349,5.0,27.700497
350,5.0,55.653957
351,5.0,63.748283
352,5.0,25.928131
353,5.0,45.157845
354,100.0,57.043488
355,45.0,60.198933
356,100.0,85.6864
357,45.0,39.48922
358,5.0,58.18171
359,5.0,11.450945
360,5.0,54.467003
361,100.0,61.92332
362,50.0,56.51752
363,95.0,55.31153
364,90.0,67.636375
365,90.0,83.66306
366,75.0,66.2689
367,5.0,37.739716
368,5.0,39.71028
369,100.0,58.369453
370,50.0,46.314026
371,60.0,52.86053
372,45.0,42.53168
373,45.0,54.249317
374,80.0,70.53808
375,5.0,30.953632
376,5.0,46.064507
377,5.0,62.127155
378,75.0,65.382164
379,5.0,13.650617
380,5.0,31.285984
381,60.0,57.33769
382,5.0,41.37388
383,100.0,75.25626
384,5.0,55.865807
385,5.0,48.108192
386,45.0,41.71522
387,60.0,65.8384
388,5.0,37.50486
389,65.0,67.78795
390,5.0,72.99144
391,45.0,41.587364
392,45.0,49.16151
393,75.0,12.739406
394,5.0,19.933928
395,100.0,55.35163
396,95.0,69.6344
397,50.0,37.591583
398,5.0,24.601316
399,85.0,71.28146
400,5.0,38.019444
401,5.0,46.19603
402,5.0,57.76595
403,5.0,51.559494
404,90.0,69.54758
405,5.0,40.243393
406,95.0,70.72692
407,75.0,70.38382
408,100.0,77.99466
409,5.0,55.81809
410,45.0,47.612133
411,5.0,30.313938
412,85.0,55.781425
413,45.0,31.926563
414,75.0,74.82454
415,60.0,35.500828
416,5.0,41.43166
417,5.0,6.808658
418,85.0,84.323586
419,60.0,58.834995
420,5.0,33.199184
421,65.0,62.389153
422,45.0,52.504982
423,60.0,59.877895
424,60.0,53.43135
425,75.0,56.81113
426,100.0,57.013893
427,45.0,61.884125
428,75.0,60.55581
429,5.0,0.0
430,100.0,70.36993
431,85.0,55.369385
432,85.0,46.166073
433,5.0,43.055847
434,100.0,85.39741
435,45.0,46.379692
436,75.0,44.0849
437,90.0,72.814064
438,60.0,59.617554
439,60.0,56.157734
440,100.0,59.993027
441,5.0,46.62416
442,5.0,56.67828
443,90.0,61.52311
444,65.0,59.362896
445,5.0,45.71284
446,45.0,57.445446
447,5.0,34.708767
448,5.0,62.896015
449,50.0,52.77584
450,60.0,60.651054
451,80.0,66.09175
452,100.0,66.23814
453,45.0,51.717403
454,45.0,50.006187
455,50.0,66.14803
456,5.0,11.370045
457,60.0,47.84143
458,80.0,72.82989
459,5.0,21.092
460,5.0,29.430986
461,5.0,27.80237
462,60.0,53.076332
463,5.0,37.502888
464,45.0,45.46924
465,5.0,54.7133
466,80.0,66.59982
467,5.0,37.88595
468,5.0,14.959065
469,5.0,0.0
470,100.0,74.14937
471,60.0,57.08934
472,60.0,58.488914
473,95.0,81.128006
474,50.0,56.40883
475,100.0,78.73158
476,50.0,47.213425
477,85.0,82.07555
478,65.0,63.296013
479,90.0,45.007206
480,65.0,67.151535
481,90.0,83.19951
482,65.0,58.96841
483,60.0,55.614517
484,50.0,46.880337
485,85.0,62.93916
486,90.0,55.20902
487,90.0,50.910435
488,5.0,27.680801
489,65.0,61.785454
490,60.0,56.01756
491,75.0,77.5971
492,65.0,54.72526
493,85.0,59.63261
494,5.0,20.000834
