,RESILI,0
0,45.0,44.080486
1,43.0,44.76065
2,35.0,46.781128
3,41.0,46.05499
4,45.0,44.672665
5,50.0,48.92076
6,49.0,46.688103
7,53.0,38.72625
8,44.0,45.645306
9,43.0,42.457775
10,41.0,47.40184
11,49.0,43.816605
12,45.0,48.81837
13,42.0,43.311092
14,57.0,43.32776
15,43.0,43.715546
16,45.0,45.80783
17,49.0,45.281998
18,38.0,42.857193
19,39.0,42.505997
20,37.0,44.055843
21,44.0,42.83502
22,53.0,51.836803
23,45.0,45.839542
24,31.0,44.924248
25,41.0,44.347687
26,53.0,43.253376
27,45.0,45.362015
28,51.0,43.842476
29,43.0,42.587852
30,34.0,42.540443
31,49.0,48.453064
32,41.0,42.19106
33,40.0,42.818985
34,47.0,46.777313
35,41.0,41.7824
36,42.0,42.776714
37,41.0,45.290867
38,45.0,42.480156
39,51.0,45.136906
40,42.0,42.046894
41,52.0,42.89988
42,42.0,43.58158
43,46.0,47.749763
44,41.0,43.046303
45,54.0,47.293743
46,44.0,45.436104
47,42.0,44.673893
48,42.0,43.996227
49,41.0,45.563297
50,42.0,43.75387
51,49.0,47.499886
52,53.0,53.562805
53,42.0,43.819313
54,37.0,38.70997
55,45.0,48.832096
56,57.0,51.600777
57,49.0,44.94769
58,35.0,38.991642
59,51.0,42.389744
60,46.0,46.981983
61,46.0,46.75063
62,41.0,42.467773
63,45.0,47.159428
64,37.0,41.70471
65,48.0,49.217857
66,40.0,46.331802
67,49.0,46.427822
68,45.0,45.219738
69,45.0,47.573734
70,44.0,42.322166
71,46.0,46.650436
72,53.0,46.16385
73,41.0,46.56414
74,47.0,46.595703
75,45.0,45.603233
76,29.0,44.608227
77,57.0,52.858772
78,37.0,44.30001
79,49.0,48.53572
80,46.0,47.16185
81,37.0,48.893044
82,34.0,42.31113
83,44.0,45.265484
84,46.0,45.869568
85,49.0,48.303814
86,53.0,48.149666
87,48.0,48.14156
88,53.0,44.698467
89,43.0,44.089935
90,48.0,48.266586
91,45.0,46.660656
92,46.0,45.623383
93,47.0,47.504417
94,50.0,47.592125
95,54.0,47.092464
96,38.0,42.05981
97,41.0,48.816856
98,49.0,48.599297
99,38.0,44.6746
100,38.0,43.17651
101,38.0,44.086086
102,49.0,45.90535
103,50.0,46.607403
104,41.0,42.281513
105,48.0,43.34629
106,49.0,48.760166
107,41.0,44.741756
108,42.0,44.657547
109,49.0,44.32898
110,54.0,42.253872
111,40.0,42.360447
112,41.0,45.227333
113,33.0,44.462894
114,50.0,49.99996
115,34.0,40.43709
116,44.0,45.713463
117,38.0,45.47079
118,41.0,48.048557
119,45.0,45.810123
120,35.0,44.283066
121,45.0,45.805824
122,53.0,46.783398
123,44.0,43.46024
124,34.0,44.769684
125,45.0,45.820442
126,41.0,43.583828
127,41.0,42.182938
128,50.0,44.925797
129,44.0,44.587883
130,47.0,47.159023
131,46.0,47.57274
132,57.0,45.47259
133,39.0,49.31491
134,39.0,43.193836
135,48.0,48.570755
136,49.0,49.847008
137,52.0,47.396614
138,44.0,44.787933
139,47.0,46.751244
140,48.0,48.596222
141,50.0,42.34336
142,44.0,44.66682
143,49.0,49.88589
144,53.0,45.028355
145,38.0,39.76893
146,54.0,46.5615
147,46.0,46.563988
148,45.0,45.776672
149,46.0,47.08825
150,56.0,47.43616
151,43.0,44.758183
152,48.0,43.973927
153,46.0,45.23046
154,37.0,42.10613
155,56.0,43.665924
156,47.0,47.623947
157,49.0,46.48801
158,48.0,46.237236
159,42.0,47.372826
160,41.0,44.973057
161,40.0,43.328377
162,37.0,41.976604
163,35.0,44.229897
164,38.0,43.159203
165,43.0,45.623
166,45.0,45.700523
167,47.0,45.12297
168,53.0,43.991806
169,37.0,51.522964
170,48.0,48.35811
171,50.0,44.977345
172,46.0,44.861454
173,53.0,45.915073
174,56.0,41.450657
175,43.0,41.080597
176,45.0,46.437035
177,53.0,47.37946
178,47.0,46.326847
179,54.0,54.930893
180,41.0,43.650352
181,57.0,46.66318
182,39.0,45.21568
183,46.0,45.472633
184,42.0,43.039352
185,56.0,46.98504
186,49.0,48.08488
187,45.0,45.393757
188,41.0,43.264385
189,38.0,44.491188
190,46.0,46.979992
191,43.0,45.021374
192,41.0,41.233738
193,38.0,47.061886
194,39.0,42.968353
195,46.0,46.041065
196,53.0,52.08251
197,49.0,46.8514
198,45.0,47.241585
199,44.0,45.499557
200,50.0,47.75637
201,58.0,44.805553
202,49.0,45.99884
203,44.0,45.472126
204,57.0,43.30426
205,39.0,44.283173
206,38.0,45.656708
207,50.0,45.889503
208,53.0,47.071518
209,35.0,45.276165
210,40.0,43.03026
211,52.0,49.67126
212,23.0,38.517475
213,40.0,50.14698
214,41.0,42.534916
215,39.0,43.950306
216,41.0,44.941174
217,61.0,49.220478
218,35.0,43.406773
219,37.0,44.966892
220,44.0,44.98547
221,34.0,44.744064
222,30.0,40.41281
223,50.0,44.502388
224,38.0,44.65648
225,46.0,46.432312
226,46.0,46.44873
227,55.0,46.9539
228,42.0,47.73202
229,46.0,46.944653
230,41.0,43.912403
231,61.0,46.356037
232,42.0,44.381557
233,35.0,40.794247
234,54.0,50.360367
235,39.0,47.389893
236,48.0,43.682804
237,45.0,46.468838
238,40.0,49.31873
239,45.0,44.74091
240,42.0,43.879925
241,49.0,45.043407
242,56.0,42.59296
243,45.0,45.74871
244,42.0,44.26973
245,56.0,48.829506
246,55.0,48.056274
247,45.0,43.738884
248,57.0,43.299206
249,34.0,46.526966
250,29.0,43.225838
251,46.0,47.904766
252,40.0,41.560013
253,40.0,45.09702
254,41.0,44.239307
255,53.0,49.352615
256,49.0,48.947342
257,42.0,43.669174
258,45.0,43.328583
259,52.0,47.573826
260,44.0,44.502434
261,45.0,46.008385
262,49.0,42.29288
263,46.0,47.11108
264,52.0,49.764084
265,40.0,46.537727
266,45.0,46.055145
267,38.0,42.40093
268,45.0,45.961555
269,38.0,42.682533
270,45.0,45.195606
271,44.0,45.09647
272,44.0,46.61516
273,49.0,50.26591
274,41.0,42.517097
275,41.0,44.211105
276,54.0,49.661636
277,48.0,46.175747
278,54.0,47.93126
279,49.0,43.437286
280,40.0,46.27535
281,45.0,47.02964
282,53.0,51.92787
283,47.0,47.835228
284,48.0,49.13357
285,53.0,47.93849
286,53.0,47.822983
287,45.0,45.576912
288,34.0,42.128365
289,34.0,40.956097
290,34.0,39.641937
291,48.0,43.812622
292,48.0,42.816963
293,48.0,46.94273
294,52.0,52.282104
295,38.0,40.162323
296,48.0,46.397102
297,33.0,40.988644
298,44.0,41.767567
299,56.0,47.11954
300,46.0,46.51982
301,43.0,43.72612
302,49.0,49.010674
303,49.0,48.673817
304,45.0,46.181396
305,49.0,47.66923
306,37.0,38.416653
307,41.0,45.898193
308,42.0,45.50867
309,37.0,42.630753
310,46.0,47.67875
311,46.0,43.58035
312,34.0,44.894627
313,37.0,39.674557
314,42.0,44.091343
315,41.0,42.104973
316,39.0,47.08539
317,46.0,47.25728
318,37.0,46.42434
319,45.0,45.544025
320,46.0,47.11296
321,42.0,44.91202
322,39.0,40.548473
323,48.0,44.949425
324,44.0,45.348537
325,37.0,41.781464
326,37.0,44.68632
327,35.0,44.444828
328,50.0,44.338314
329,31.0,50.783398
330,49.0,43.572357
331,40.0,42.413185
332,50.0,49.784016
333,45.0,45.7548
334,37.0,44.49387
335,42.0,42.70091
336,48.0,47.654034
337,42.0,41.61543
338,34.0,43.97908
339,35.0,47.39971
340,49.0,51.037865
341,47.0,45.401955
342,42.0,47.08858
343,51.0,48.184155
344,44.0,41.774055
345,40.0,43.690304
346,54.0,42.746708
347,41.0,49.62825
348,52.0,42.68837
349,53.0,49.07127
350,46.0,47.44412
351,53.0,45.672962
352,46.0,46.979706
353,38.0,42.604824
354,48.0,48.08916
355,49.0,46.94986
356,43.0,43.505566
357,44.0,45.603992
358,39.0,42.5086
359,44.0,45.312893
360,42.0,44.835594
361,50.0,50.369534
362,52.0,49.636284
363,41.0,47.068478
364,46.0,46.38268
365,46.0,44.066093
366,40.0,45.53584
367,39.0,44.99489
368,47.0,44.745285
369,46.0,45.183945
370,35.0,43.962635
371,46.0,46.178005
372,53.0,50.423256
373,43.0,45.27558
374,38.0,44.191677
375,49.0,45.35829
376,46.0,46.96767
377,38.0,41.250874
378,46.0,44.437443
379,50.0,41.75774
380,44.0,41.81485
381,46.0,43.2016
382,48.0,45.24115
383,51.0,51.55724
384,38.0,44.62301
385,49.0,42.03703
386,47.0,43.949352
387,52.0,45.21006
388,44.0,45.08403
389,51.0,44.532276
390,54.0,50.00761
391,41.0,44.01558
392,57.0,39.558254
393,42.0,43.822407
394,33.0,39.52014
395,45.0,44.504597
396,38.0,43.3748
397,41.0,44.96093
398,46.0,43.278206
399,56.0,51.59353
400,41.0,44.074123
401,39.0,46.89293
402,56.0,46.101105
403,42.0,41.78073
404,49.0,50.187927
405,41.0,43.8706
406,44.0,46.07779
407,29.0,42.860214
408,45.0,46.844635
409,43.0,43.40015
410,37.0,43.85974
411,33.0,43.688335
412,49.0,43.901123
413,33.0,40.634712
414,50.0,45.719822
415,35.0,43.809284
416,35.0,46.420666
417,58.0,45.700527
418,44.0,45.198166
419,40.0,46.126457
420,40.0,40.482533
421,41.0,47.766083
422,49.0,44.603123
423,35.0,37.482952
424,53.0,46.403347
425,41.0,42.310814
426,30.0,43.58461
427,30.0,41.279755
428,45.0,46.39508
429,45.0,43.312645
430,47.0,44.997375
431,43.0,44.29053
432,46.0,45.351933
433,41.0,42.44085
434,41.0,41.445793
435,50.0,44.6118
436,31.0,37.424484
437,53.0,46.63057
438,56.0,46.206253
